,brand,model,fuel,transtype,owner,manufacture,kms,price
0,Maruti,Maruti 800 AC,Petrol,Manual,1,2007,70000,60000
1,Maruti,Maruti Wagon R,Petrol,Manual,1,2007,50000,135000
2,Hyundai,Hyundai Verna 1.6,Diesel,Manual,1,2012,100000,600000
3,Datsun,Datsun RediGO T,Petrol,Manual,1,2017,46000,250000
4,Honda,Honda Amaze VX,Diesel,Manual,2,2014,141000,450000
5,Maruti,Maruti Alto LX,Petrol,Manual,1,2007,125000,140000
6,Hyundai,Hyundai Xcent 1.2,Petrol,Manual,1,2016,25000,550000
7,Tata,Tata Indigo Grand,Petrol,Manual,2,2014,60000,240000
8,Hyundai,Hyundai Creta 1.6,Petrol,Manual,1,2015,25000,850000
9,Maruti,Maruti Celerio Green,CNG,Manual,1,2017,78000,365000
10,Chevrolet,Chevrolet Sail 1.2,Petrol,Manual,1,2015,35000,260000
11,Tata,Tata Indigo Grand,Petrol,Manual,1,2014,100000,250000
12,Toyota,Toyota Corolla Altis,Petrol,Automatic,1,2018,25000,1650000
13,Maruti,Maruti 800 AC,Petrol,Manual,1,2007,70000,60000
14,Maruti,Maruti Wagon R,Petrol,Manual,1,2007,50000,135000
15,Hyundai,Hyundai Verna 1.6,Diesel,Manual,1,2012,100000,600000
16,Datsun,Datsun RediGO T,Petrol,Manual,1,2017,46000,250000
17,Honda,Honda Amaze VX,Diesel,Manual,2,2014,141000,450000
18,Maruti,Maruti Alto LX,Petrol,Manual,1,2007,125000,140000
19,Hyundai,Hyundai Xcent 1.2,Petrol,Manual,1,2016,25000,550000
20,Tata,Tata Indigo Grand,Petrol,Manual,2,2014,60000,240000
21,Hyundai,Hyundai Creta 1.6,Petrol,Manual,1,2015,25000,850000
22,Maruti,Maruti Celerio Green,CNG,Manual,1,2017,78000,365000
23,Chevrolet,Chevrolet Sail 1.2,Petrol,Manual,1,2015,35000,260000
24,Tata,Tata Indigo Grand,Petrol,Manual,1,2014,100000,250000
25,Toyota,Toyota Corolla Altis,Petrol,Automatic,1,2018,25000,1650000
26,Maruti,Maruti Ciaz VXi,Petrol,Manual,1,2015,24000,585000
27,Hyundai,Hyundai Venue SX,Diesel,Manual,1,2019,5000,1195000
28,Chevrolet,Chevrolet Enjoy TCDi,Diesel,Manual,2,2013,33000,390000
29,Jaguar,Jaguar XF 2.2,Diesel,Automatic,1,2014,28000,1964999
30,Mercedes-Benz,Mercedes-Benz New C-Class,Diesel,Automatic,1,2013,59000,1425000
31,Maruti,Maruti Vitara Brezza,Diesel,Automatic,1,2018,4500,975000
32,Audi,Audi Q5 2.0,Diesel,Automatic,1,2011,175900,1190000
33,Honda,Honda City V,Petrol,Manual,1,2018,14500,930000
34,Tata,Tata Tigor 1.2,Petrol,Manual,1,2018,15000,525000
35,Audi,Audi A6 2.0,Diesel,Automatic,1,2013,50000,1735000
36,Mercedes-Benz,Mercedes-Benz New C-Class,Diesel,Automatic,2,2012,33800,1375000
37,Skoda,Skoda Superb Ambition,Diesel,Automatic,2,2011,130400,450000
38,Toyota,Toyota Corolla Altis,Petrol,Automatic,1,2016,50000,900000
39,Toyota,Toyota Innova 2.5,Diesel,Manual,1,2015,80000,1300000
40,Jeep,Jeep Compass 1.4,Petrol,Manual,1,2019,10000,1400000
41,Mercedes-Benz,Mercedes-Benz E-Class E,Petrol,Automatic,1,2010,119000,850000
42,Hyundai,Hyundai i10 Magna,Petrol,Manual,4,2014,60000,229999
43,BMW,BMW 3 Series,Diesel,Automatic,2,2013,75800,1550000
44,Audi,Audi Q7 35,Diesel,Automatic,3,2009,78000,1250000
45,Hyundai,Hyundai Elantra CRDi,Diesel,Manual,1,2012,40000,625000
46,Mahindra,Mahindra Scorpio 1.99,Diesel,Manual,1,2014,50000,1050000
47,Honda,Honda City i,Diesel,Manual,2,2014,74000,560000
48,Maruti,Maruti Wagon R,Petrol,Manual,2,2014,64000,290000
49,Maruti,Maruti Wagon R,Petrol,Manual,2,2012,60000,275000
50,Mahindra,Mahindra Scorpio LX,Diesel,Manual,2,2009,120000,411000
51,Hyundai,Hyundai Santro Xing,Petrol,Manual,3,2009,79000,150000
52,Hyundai,Hyundai Grand i10,Petrol,Manual,1,2019,15000,500000
53,Maruti,Maruti Alto LXi,Petrol,Manual,1,2006,80000,100000
54,Maruti,Maruti Swift Dzire,Diesel,Manual,1,2017,18500,725000
55,Maruti,Maruti Eeco 5,Petrol,Manual,1,2018,10200,401000
56,Hyundai,Hyundai i20 Sportz,Diesel,Manual,1,2018,29000,750000
57,Maruti,Maruti Omni Maruti,Petrol,Manual,1,2018,28000,310000
58,Maruti,Maruti Swift ZDi,Diesel,Manual,1,2016,46000,665000
59,Hyundai,Hyundai i20 2015-2017,Diesel,Manual,1,2014,70000,465000
60,Maruti,Maruti Alto LXi,Petrol,Manual,2,2012,60000,160000
61,Mahindra,Mahindra Jeep CL,Diesel,Manual,2,1996,35000,250000
62,Honda,Honda City i,Diesel,Manual,1,2014,90000,675000
63,Maruti,Maruti Wagon R,Petrol,Manual,1,2013,80000,300000
64,Tata,Tata Indica DLS,Diesel,Manual,1,2005,80000,70000
65,Hyundai,Hyundai EON Magna,Petrol,Manual,2,2014,73300,240000
66,Toyota,Toyota Etios GD,Diesel,Manual,1,2014,92000,525000
67,Maruti,Maruti Alto LXi,Petrol,Manual,2,2009,66764,151000
68,Maruti,Maruti Alto LXi,Petrol,Manual,1,2009,100000,140000
69,Chevrolet,Chevrolet Tavera Neo,Diesel,Manual,2,2010,350000,280000
70,Toyota,Toyota Corolla Altis,Diesel,Manual,1,2011,230000,350000
71,Mahindra,Mahindra Scorpio 1.99,Diesel,Manual,1,2017,60000,570000
72,Hyundai,Hyundai EON Magna,Petrol,Manual,1,2018,31000,300000
73,Tata,Tata Indigo Classic,Diesel,Manual,1,2007,39000,100000
74,Toyota,Toyota Innova 2.5,Diesel,Manual,3,2009,120000,500000
75,Tata,Tata Indica Vista,Diesel,Manual,4,2014,166000,125000
76,Maruti,Maruti Swift 1.3,Petrol,Manual,3,2006,110000,130000
77,Ford,Ford EcoSport 1.5,Diesel,Manual,1,2017,35000,925000
